County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022
FORT BEND COUNTY,STAFFORD MSD,48157,79910,218.62,433.03,3589.0,235.6,462.05,3316.0,242.6,474.62,3513.0
JONES COUNTY,STAMFORD ISD,48253,127906,59.0,126.41,647.0,58.31,130.68,595.0,57.46,132.14,620.0
MAVERICK COUNTY,STANTON ISD,48317,156902,80.8,152.14,1098.0,87.84,169.34,1054.0,92.47,170.44,1103.0
HARRIS COUNTY,STEP CHARTER SCHOOL,48201,101859,32.93,62.1,505.0,34.98,64.43,497.0,39.23,83.4,558.0
NACOGDOCHES COUNTY,STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,48347,174801,17.32,28.07,256.0,17.53,30.61,255.0,16.92,29.91,256.0
ERATH COUNTY,STEPHENVILLE ISD,48143,72903,253.55,456.64,3697.0,262.66,475.91,3659.0,262.87,469.94,3695.0
STERLING COUNTY,STERLING CITY ISD,48431,216901,27.04,54.31,327.0,28.99,59.79,338.0,27.99,58.95,337.0
WILSON COUNTY,STOCKDALE ISD,48493,247906,74.19,138.26,830.0,73.65,141.28,780.0,72.01,145.45,817.0
SHERMAN COUNTY,STRATFORD ISD,48421,211902,56.99,103.18,577.0,58.0,100.36,576.0,54.0,90.04,581.0
PALO PINTO COUNTY,STRAWN ISD,48363,182905,18.76,28.74,167.0,18.77,29.59,142.0,17.56,27.87,162.0
LAMB COUNTY,SUDAN ISD,48279,140908,43.6,72.82,475.0,44.03,72.53,480.0,44.76,73.26,483.0
HOPKINS COUNTY,SULPHUR BLUFF ISD,48223,112910,18.13,38.4,241.0,20.35,42.21,218.0,22.17,43.0,203.0
HOPKINS COUNTY,SULPHUR SPRINGS ISD,48223,112901,349.18,677.02,4399.0,362.78,697.9,4313.0,361.91,704.47,4339.0
HOCKLEY COUNTY,SUNDOWN ISD,48219,110907,63.06,102.88,614.0,59.23,103.25,583.0,61.93,103.56,592.0
DALLAS COUNTY,SUNNYVALE ISD,48113,57919,124.44,226.38,1882.0,139.53,273.18,2025.0,145.91,277.56,2111.0
MOORE COUNTY,SUNRAY ISD,48341,171902,56.19,109.48,556.0,59.9,125.92,591.0,61.79,125.63,619.0
BRAZORIA COUNTY,SWEENY ISD,48039,20906,132.71,252.23,1978.0,135.47,287.09,1848.0,141.52,307.35,1853.0
LAVACA COUNTY,SWEET HOME ISD,48285,143905,11.88,23.5,143.0,12.49,22.76,143.0,12.37,22.35,136.0
NOLAN COUNTY,SWEETWATER ISD,48353,177902,145.85,380.27,2162.0,156.45,402.08,2083.0,155.09,380.77,2054.0
SAN PATRICIO COUNTY,TAFT ISD,48409,205907,89.99,197.9,1047.0,83.5,177.79,940.0,71.04,169.73,888.0
LYNN COUNTY,TAHOKA ISD,48305,153904,64.91,128.61,620.0,63.05,125.27,597.0,62.78,128.38,598.0
LIBERTY COUNTY,TARKINGTON ISD,48291,146907,127.44,250.98,1810.0,138.75,269.73,1718.0,136.02,267.66,1809.0
RUSK COUNTY,TATUM ISD,48401,201910,105.18,227.04,1515.0,108.42,231.19,1473.0,106.53,230.89,1475.0
WILLIAMSON COUNTY,TAYLOR ISD,48491,246911,238.82,520.27,3191.0,225.81,484.28,2973.0,212.22,476.93,3040.0
FREESTONE COUNTY,TEAGUE ISD,48161,81904,91.32,184.18,1168.0,89.95,187.9,1163.0,93.64,194.18,1183.0
JEFFERSON COUNTY,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,48245,123803,22.75,44.68,464.0,30.99,50.99,457.0,32.98,58.98,368.0
BELL COUNTY,TEMPLE ISD,48027,14909,608.8,1158.18,8752.0,594.49,1168.81,8403.0,601.41,1272.26,8445.0
SHELBY COUNTY,TENAHA ISD,48419,210904,40.58,80.47,542.0,38.33,79.71,500.0,39.24,78.53,473.0
BREWSTER COUNTY,TERLINGUA CSD,48043,22004,12.18,25.44,101.0,11.21,25.14,98.0,14.06,27.1,111.0
TERRELL COUNTY,TERRELL COUNTY ISD,48443,222901,13.02,26.79,121.0,14.0,27.87,121.0,14.63,29.01,133.0
KAUFMAN COUNTY,TERRELL ISD,48257,129906,296.76,588.76,4711.0,305.41,605.89,4728.0,300.18,602.41,4973.0
BOWIE COUNTY,TEXARKANA ISD,48037,19907,528.7,1073.17,7174.0,544.76,1098.42,7654.0,549.34,1166.76,7156.0
GALVESTON COUNTY,TEXAS CITY ISD,48167,84906,543.87,1239.12,8641.0,570.63,1270.04,8044.0,520.44,1212.89,7811.0
DENTON COUNTY,TEXAS COLLEGE PREPARATORY ACADEMIES,48121,221801,804.67,1710.23,12116.0,1092.05,2189.63,15671.0,1088.91,2114.62,15238.0
TRAVIS COUNTY,TEXAS EMPOWERMENT ACADEMY,48453,227805,21.33,33.57,334.0,26.02,49.14,360.0,26.37,54.48,413.0
TOM GREEN COUNTY,TEXAS LEADERSHIP PUBLIC SCHOOLS,48451,226801,193.6,352.02,2793.0,203.17,383.68,2863.0,251.99,460.07,3511.0
HAYS COUNTY,TEXAS PREPARATORY SCHOOL,48209,105802,23.45,62.84,228.0,18.94,50.44,160.0,17.59,41.99,120.0
TARRANT COUNTY,TEXAS SCHOOL OF THE ARTS,48439,220814,23.87,40.67,332.0,22.88,50.79,287.0,25.83,50.73,293.0
HARRIS COUNTY,TEXAS SERENITY ACADEMY,48201,170801,25.99,43.32,408.0,31.83,65.35,418.0,27.41,54.67,341.0
SHERMAN COUNTY,TEXHOMA ISD,48421,211901,12.49,25.83,172.0,10.28,24.68,169.0,10.81,27.77,174.0
DALLAM COUNTY,TEXLINE ISD,48111,56902,17.58,30.79,180.0,20.94,32.32,199.0,21.23,32.26,217.0
HARRIS COUNTY,THE LAWSON ACADEMY,48201,101864,17.0,32.54,226.0,14.92,25.7,182.0,11.84,26.82,169.0
HARRIS COUNTY,THE PRO-VISION ACADEMY,48201,101868,26.5,44.48,478.0,29.0,44.5,432.0,28.97,45.97,397.0
HARRIS COUNTY,THE RHODES SCHOOL,48201,101861,93.57,165.88,1236.0,51.09,122.7,718.0,49.7,118.31,607.0
HARRIS COUNTY,THE VARNETT PUBLIC SCHOOL,48201,101814,79.69,198.56,1721.0,70.55,177.4,1333.0,62.44,171.21,1137.0
MILAM COUNTY,THORNDALE ISD,48331,166905,51.85,98.44,557.0,53.21,100.56,576.0,54.32,100.37,596.0
WILLIAMSON COUNTY,THRALL ISD,48491,246912,55.77,91.47,736.0,58.83,101.72,777.0,59.0,109.09,788.0
LIVE OAK COUNTY,THREE RIVERS ISD,48297,149902,54.45,102.06,628.0,58.92,109.04,570.0,58.79,112.66,608.0
ERATH COUNTY,THREE WAY ISD,48143,72901,16.15,27.17,163.0,20.21,35.75,215.0,20.19,34.8,237.0
THROCKMORTON COUNTY,THROCKMORTON COLLEGIATE ISD,48447,224901,13.56,27.5,147.0,17.16,31.22,140.0,19.38,32.84,157.0
MCLENNAN COUNTY,TIDEHAVEN ISD,48321,158902,68.21,136.97,979.0,71.15,151.87,955.0,72.6,156.03,1010.0
SHELBY COUNTY,TIMPSON ISD,48419,210905,54.56,107.23,678.0,58.53,108.7,649.0,58.87,113.88,645.0
GRAYSON COUNTY,TIOGA ISD,48181,91907,55.41,103.22,675.0,62.34,116.63,737.0,66.1,121.81,706.0
HOOD COUNTY,TOLAR ISD,48221,111903,61.46,103.01,797.0,68.28,113.39,806.0,65.44,111.51,851.0
GRAYSON COUNTY,TOM BEAN ISD,48181,91918,51.12,99.69,664.0,55.95,100.26,659.0,59.24,104.61,657.0
HARRIS COUNTY,TOMBALL ISD,48201,101921,1045.13,2159.34,16962.0,1172.4,2356.05,18666.0,1273.12,2548.18,20262.0
EL PASO COUNTY,TORNILLO ISD,48141,71908,73.28,179.28,1025.0,71.5,176.88,914.0,66.38,173.0,889.0
TARRANT COUNTY,TREETOPS SCHOOL INTERNATIONAL,48439,220801,30.82,39.08,391.0,31.0,39.02,391.0,31.0,38.01,323.0
TAYLOR COUNTY,TRENT ISD,48441,221905,16.54,29.99,171.0,18.0,33.09,131.0,18.0,33.3,138.0
FANNIN COUNTY,TRENTON ISD,48147,74912,45.28,88.32,600.0,48.11,91.97,725.0,47.14,95.06,725.0
HENDERSON COUNTY,TRINIDAD ISD,48213,107907,20.49,32.41,182.0,21.99,32.98,158.0,17.8,29.73,154.0
TRAVIS COUNTY,TRINITY CHARTER SCHOOL,48453,46802,60.92,117.32,448.0,52.32,101.37,400.0,45.78,92.36,347.0
TRINITY COUNTY,TRINITY ISD,48455,228903,92.6,177.66,1188.0,95.77,185.63,1161.0,96.84,184.72,1159.0
DENTON COUNTY,TRIVIUM ACADEMY,48121,61805,45.22,55.51,593.0,52.15,59.97,598.0,52.82,65.18,553.0
SMITH COUNTY,TROUP ISD,48423,212904,81.23,158.86,1102.0,87.84,170.32,1023.0,87.99,174.86,1053.0
BELL COUNTY,TROY ISD,48027,14910,103.97,207.69,1542.0,105.48,213.27,1571.0,113.62,221.88,1637.0
SWISHER COUNTY,TULIA ISD,48437,219903,98.38,191.98,1094.0,88.74,181.48,950.0,87.29,189.72,947.0
NUECES COUNTY,TULOSO-MIDWAY ISD,48355,178912,283.93,542.74,3941.0,278.02,526.99,3846.0,265.79,523.88,3750.0
BRISCOE COUNTY,TURKEY-QUITAQUE ISD,48045,96905,21.39,35.19,221.0,22.96,34.85,195.0,25.18,38.3,193.0
HARRIS COUNTY,TWO DIMENSIONS PREPARATORY ACADEMY,48201,101840,27.99,69.21,503.0,22.85,63.76,440.0,21.84,58.2,439.0
SMITH COUNTY,TYLER ISD,48423,212905,1210.45,2506.58,18130.0,1234.66,2489.32,17721.0,1238.06,2550.97,18148.0
DALLAS COUNTY,UME PREPARATORY ACADEMY,48113,57845,52.23,89.74,844.0,80.74,132.75,1270.0,97.24,158.6,1365.0
UPSHUR COUNTY,UNION GROVE ISD,48459,230908,63.32,109.65,754.0,64.53,115.04,721.0,64.79,108.23,703.0
UPSHUR COUNTY,UNION HILL ISD,48459,230904,36.64,65.01,345.0,33.38,64.02,307.0,32.51,62.08,284.0
WEBB COUNTY,UNITED ISD,48479,240903,2585.13,6397.39,43364.0,2590.6,6334.07,41902.0,2539.48,6268.27,39316.0
DALLAS COUNTY,UNIVERSAL ACADEMY,48113,57808,141.56,204.55,2058.0,138.86,201.05,2397.0,132.47,190.53,2055.0
HARRIS COUNTY,UNIVERSITY OF HOUSTON CHARTER SCHOOL,48201,101807,6.0,14.22,135.0,6.0,12.0,86.0,,,
TRAVIS COUNTY,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,48453,227819,21.25,36.07,298.0,22.82,38.46,290.0,23.94,40.38,302.0
TRAVIS COUNTY,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,48453,227806,72.24,130.55,638.0,76.36,136.09,618.0,68.32,139.91,532.0
DALLAS COUNTY,UPLIFT EDUCATION,48113,57803,1204.78,2144.67,18709.0,1369.08,2490.89,21521.0,1399.14,2551.86,22183.0
SMITH COUNTY,UT TYLER UNIVERSITY ACADEMY,48423,212804,53.53,76.47,738.0,56.94,87.75,827.0,57.13,94.15,853.0
UVALDE COUNTY,UTOPIA ISD,48463,232904,19.66,38.8,242.0,19.16,39.97,206.0,19.41,38.33,213.0
ECTOR COUNTY,UTPB STEM ACADEMY,48135,68803,37.85,52.65,721.0,44.73,60.54,792.0,42.32,60.0,763.0
