ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2021-22,State Agency ID [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Total Staff [District] 2021-22
SANTA ANNA ISD,Texas,4839210,2,2,TX-042903,253,24.50,50.09
SANTA FE ISD,Texas,4839270,6,7,TX-084909,4365,258.36,655.75
SANTA GERTRUDIS ISD,Texas,4839300,2,2,TX-137904,781,50.43,97.00
SANTA MARIA ISD,Texas,4839330,4,6,TX-031913,544,59.62,160.61
SANTA ROSA ISD,Texas,4839360,3,4,TX-031914,849,76.13,183.00
SANTO ISD,Texas,4839390,2,2,TX-182904,499,41.18,85.18
SAVOY ISD,Texas,4839450,2,2,TX-074911,306,30.03,57.78
SCHERTZ-CIBOLO-U CITY ISD,Texas,4839480,16,17,TX-094902,15890,987.58,1830.06
SCHLEICHER ISD,Texas,4839510,3,3,TX-207901,499,53.00,100.50
SCHOOL OF SCIENCE AND TECHNOLOGY,Texas,4800258,7,7,TX-015827,3972,283.28,439.82
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,Texas,4801400,6,6,TX-015831,5288,363.93,571.18
SCHULENBURG ISD,Texas,4839540,2,2,TX-075903,700,64.08,121.97
SCURRY-ROSSER ISD,Texas,4839570,3,3,TX-129910,1085,80.42,190.84
SEAGRAVES ISD,Texas,4839600,1,1,TX-083901,519,40.55,103.20
SEALY ISD,Texas,4839630,4,4,TX-008902,2827,203.50,371.95
SEASHORE CHARTER SCHOOLS,Texas,4800289,2,2,TX-178808,495,37.40,59.37
SEGUIN ISD,Texas,4839690,14,14,TX-094901,7064,485.14,1100.29
SEMINOLE ISD,Texas,4839750,6,6,TX-083903,2961,238.73,482.85
SER-NINOS CHARTER SCHOOL,Texas,4800018,3,3,TX-101802,1009,65.53,98.00
SEYMOUR ISD,Texas,4839780,3,3,TX-012901,620,54.00,104.21
SHALLOWATER ISD,Texas,4839870,6,6,TX-152909,1746,133.78,272.62
SHAMROCK ISD,Texas,4839900,3,3,TX-242902,382,42.99,92.50
SHARYLAND ISD,Texas,4839930,13,14,TX-108911,9503,629.85,1366.42
SHELBYVILLE ISD,Texas,4839960,1,1,TX-210903,775,64.36,119.41
SHELDON ISD,Texas,4839990,13,14,TX-101924,10570,629.22,1472.47
SHEPHERD ISD,Texas,4840020,4,4,TX-204904,1913,117.96,282.71
SHERMAN ISD,Texas,4840080,15,15,TX-091906,7719,574.34,1087.40
SHINER ISD,Texas,4840110,2,3,TX-143903,710,53.09,90.11
SIDNEY ISD,Texas,4840170,1,1,TX-047905,128,14.85,24.52
SIERRA BLANCA ISD,Texas,4840200,1,1,TX-115902,118,11.67,23.52
SILSBEE ISD,Texas,4840230,4,5,TX-100904,2718,202.02,405.09
SILVERTON ISD,Texas,4840290,1,1,TX-023902,187,19.99,35.41
SIMMS ISD,Texas,4840320,3,3,TX-019909,473,49.01,86.34
SINTON ISD,Texas,4840350,5,5,TX-205906,2034,157.80,337.36
SIVELLS BEND ISD,Texas,4840380,1,1,TX-049909,63,7.45,12.99
SKIDMORE-TYNAN ISD,Texas,4840410,3,3,TX-013905,786,67.94,134.30
SLATON ISD,Texas,4840440,6,6,TX-152903,1284,115.84,278.13
SLIDELL ISD,Texas,4840470,1,1,TX-249908,383,30.77,53.15
SLOCUM ISD,Texas,4840500,2,2,TX-001909,361,39.00,68.84
SMITHVILLE ISD,Texas,4840550,4,5,TX-011904,1788,127.70,254.65
SMYER ISD,Texas,4840590,1,1,TX-110906,417,41.57,63.73
SNOOK ISD,Texas,4840620,2,2,TX-026903,530,46.92,103.32
SNYDER ISD,Texas,4840650,4,4,TX-208902,2558,207.98,418.00
SOCORRO ISD,Texas,4840710,52,54,TX-071909,47278,2912.08,5975.51
SOMERSET ISD,Texas,4840740,8,8,TX-015909,3958,258.64,592.92
SOMERVILLE ISD,Texas,4840770,3,3,TX-026902,544,50.81,96.42
SONORA ISD,Texas,4840800,2,2,TX-218901,691,66.37,117.20
SOUTH SAN ANTONIO ISD,Texas,4840680,20,21,TX-015908,7922,541.29,1180.68
SOUTH TEXAS ISD,Texas,4837150,6,8,TX-031916,4251,311.68,661.71
SOUTHLAND ISD,Texas,4840890,1,1,TX-085903,115,17.11,28.87
SOUTHSIDE ISD,Texas,4840920,9,10,TX-015917,5520,389.02,942.18
SOUTHWEST ISD,Texas,4840950,18,19,TX-015912,13277,978.34,2079.10
SOUTHWEST PREPARATORY SCHOOL,Texas,4800063,6,6,TX-015807,795,72.55,147.57
SOUTHWEST SCHOOL,Texas,4800125,5,5,TX-101838,1527,95.96,201.50
SPEARMAN ISD,Texas,4841010,3,3,TX-098904,786,80.81,150.06
SPLENDORA ISD,Texas,4841070,7,7,TX-170907,4384,299.68,662.20
SPRING BRANCH ISD,Texas,4841100,49,50,TX-101920,33545,2196.76,4561.34
SPRING CREEK ISD,Texas,4841130,1,1,TX-117907,99,12.01,23.58
SPRING HILL ISD,Texas,4841190,4,5,TX-092907,2038,149.47,264.23
SPRING ISD,Texas,4841220,42,44,TX-101919,33425,2176.68,4949.06
SPRINGLAKE-EARTH ISD,Texas,4841250,2,3,TX-140907,296,33.17,64.45
SPRINGTOWN ISD,Texas,4841280,6,6,TX-184902,3888,281.13,542.68
SPUR ISD,Texas,4800002,1,1,TX-063903,221,26.72,50.34
SPURGER ISD,Texas,4841340,2,2,TX-229905,371,38.91,76.11
ST ANTHONY SCHOOL,Texas,4800248,2,2,TX-057836,316,23.99,45.74
ST MARY'S ACADEMY CHARTER SCHOOL,Texas,4800177,1,1,TX-013801,401,24.30,71.79
STAFFORD MSD,Texas,4841350,5,7,TX-079910,3513,242.60,474.62
STAMFORD ISD,Texas,4841400,3,3,TX-127906,620,57.46,132.14
STANTON ISD,Texas,4841430,3,3,TX-156902,1103,92.47,170.44
STEP CHARTER SCHOOL,Texas,4800275,2,2,TX-101859,558,39.23,83.40
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,Texas,4801395,1,1,TX-174801,256,16.92,29.91
STEPHENVILLE ISD,Texas,4841520,6,6,TX-072903,3695,262.87,469.94
STERLING CITY ISD,Texas,4841550,5,6,TX-216901,337,27.99,58.95
STOCKDALE ISD,Texas,4841610,4,5,TX-247906,817,72.01,145.45
STRATFORD ISD,Texas,4841670,3,3,TX-211902,581,54.00,90.04
STRAWN ISD,Texas,4841700,1,2,TX-182905,162,17.56,27.87
SUDAN ISD,Texas,4841760,2,2,TX-140908,483,44.76,73.26
SULPHUR BLUFF ISD,Texas,4841790,1,1,TX-112910,203,22.17,43.00
SULPHUR SPRINGS ISD,Texas,4841820,9,9,TX-112901,4339,361.91,704.47
SUNDOWN ISD,Texas,4841850,4,4,TX-110907,592,61.93,103.56
SUNNYVALE ISD,Texas,4841880,4,5,TX-057919,2111,145.91,277.56
SUNRAY COLLEGIATE ISD,Texas,4841910,3,3,TX-171902,619,61.79,125.63
SWEENY ISD,Texas,4841970,3,4,TX-020906,1853,141.52,307.35
SWEET HOME ISD,Texas,4842000,1,1,TX-143905,136,12.37,22.35
SWEETWATER ISD,Texas,4842030,6,7,TX-177902,2054,155.09,380.77
TAFT ISD,Texas,4842060,3,3,TX-205907,888,71.04,169.73
TAHOKA ISD,Texas,4842090,3,3,TX-153904,598,62.78,128.38
TARKINGTON ISD,Texas,4842210,4,4,TX-146907,1809,136.02,267.66
TATUM ISD,Texas,4842240,4,4,TX-201910,1475,106.53,230.89
TAYLOR ISD,Texas,4842280,7,9,TX-246911,3040,212.22,476.93
TEAGUE ISD,Texas,4842300,4,4,TX-081904,1183,93.64,194.18
TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,Texas,4800139,4,4,TX-123803,368,32.98,58.98
TEMPLE ISD,Texas,4842330,17,17,TX-014909,8445,601.41,1272.26
TENAHA ISD,Texas,4842360,1,1,TX-210904,473,39.24,78.53
TERLINGUA CSD,Texas,4842390,1,1,TX-022004,111,14.06,27.10
TERRELL COUNTY ISD,Texas,4842420,1,1,TX-222901,133,14.63,29.01
TERRELL ISD,Texas,4842450,9,9,TX-129906,4973,300.18,602.41
TEXANS CAN ACADEMIES,Texas,4800016,13,13,TX-057804,5037,258.30,569.30
TEXARKANA ISD,Texas,4842480,13,13,TX-019907,7156,549.34,1166.76
TEXAS CITY ISD,Texas,4842510,15,15,TX-084906,7811,520.44,1212.89
TEXAS COLLEGE PREPARATORY ACADEMIES,Texas,4800163,43,44,TX-221801,15238,1088.91,2114.62
TEXAS EMPOWERMENT ACADEMY,Texas,4800066,2,2,TX-227805,413,26.37,54.48
TEXAS JUVENILE JUSTICE DEPARTMENT,Texas,4801432,5,5,TX-227622,647,–,–
TEXAS LEADERSHIP PUBLIC SCHOOLS,Texas,4801409,4,4,TX-226801,3511,251.99,460.07
TEXAS PREPARATORY SCHOOL,Texas,4800194,2,2,TX-105802,120,17.59,41.99
TEXAS SCH FOR THE BLIND & VISUALLY IMPAIRED,Texas,4800252,1,1,TX-227905,125,–,–
TEXAS SCH FOR THE DEAF,Texas,4800253,1,1,TX-227906,471,–,–
TEXAS SCHOOL OF THE ARTS,Texas,4800287,1,1,TX-220814,293,25.83,50.73
TEXAS SERENITY ACADEMY,Texas,4800151,1,1,TX-170801,341,27.41,54.67
TEXAS TECH UNIVERSITY K-12,TEXAS,4801480,1,3,TX-152504,977,26.74,26.74
TEXHOMA ISD,Texas,4842540,1,1,TX-211901,174,10.81,27.77
TEXLINE ISD,Texas,4842570,1,1,TX-056902,217,21.23,32.26
THE EXCEL CENTER (FOR ADULTS),TEXAS,4801448,5,7,TX-227827,923,48.18,85.69
THE GATHERING PLACE,TEXAS,4801471,1,1,TX-015841,465,26.72,71.14
THE LAWSON ACADEMY,Texas,4801418,1,1,TX-101864,169,11.84,26.82
THE PRO-VISION ACADEMY,Texas,4801434,2,2,TX-101868,397,28.97,45.97
THE RHODES SCHOOL FOR PERFORMING ARTS,Texas,4800283,2,2,TX-101861,607,49.70,118.31
THE VARNETT PUBLIC SCHOOL,Texas,4800073,3,3,TX-101814,1137,62.44,171.21
THORNDALE ISD,Texas,4842630,3,3,TX-166905,596,54.32,100.37
THRALL ISD,Texas,4842660,3,5,TX-246912,788,59.00,109.09
THREE RIVERS ISD,Texas,4842690,2,2,TX-149902,608,58.79,112.66
THREE WAY ISD,Texas,4842720,1,1,TX-072901,237,20.19,34.80
THRIVE CENTER FOR SUCCESS,TEXAS,4801481,="0",1,TX-170802,†,†,†
THROCKMORTON COLLEGIATE ISD,Texas,4842780,1,1,TX-224901,157,19.38,32.84
TIDEHAVEN ISD,Texas,4842810,4,4,TX-158902,1010,72.60,156.03
TIMPSON ISD,Texas,4842840,1,1,TX-210905,645,58.87,113.88
TIOGA ISD,Texas,4842870,1,1,TX-091907,706,66.10,121.81
TOLAR ISD,Texas,4842900,3,3,TX-111903,851,65.44,111.51
TOM BEAN ISD,Texas,4842930,3,3,TX-091918,657,59.24,104.61
TOMBALL ISD,Texas,4842960,22,23,TX-101921,20262,1273.12,2548.18
TORNILLO ISD,Texas,4842990,4,5,TX-071908,889,66.38,173.00
TREETOPS SCHOOL INTERNATIONAL,Texas,4800068,1,1,TX-220801,323,31.00,38.01
TRENT ISD,Texas,4843110,1,1,TX-221905,138,18.00,33.30
TRENTON ISD,Texas,4843140,3,3,TX-074912,725,47.14,95.06
TRINIDAD ISD,Texas,4843170,1,1,TX-107907,154,17.80,29.73
TRINITY BASIN PREPARATORY,Texas,4800092,3,3,TX-057813,4211,291.47,589.77
TRINITY CHARTER SCHOOL,Texas,4800259,12,16,TX-046802,347,45.78,92.36
TRINITY ISD,Texas,4843200,3,3,TX-228903,1159,96.84,184.72
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,Texas,4800106,2,2,TX-071803,198,13.67,27.57
TRIUMPH PUBLIC HIGH SCHOOLS-LAREDO,Texas,4800174,2,2,TX-240801,182,13.85,84.86
TRIUMPH PUBLIC HIGH SCHOOLS-LUBBOCK,Texas,4800142,1,1,TX-152803,178,11.31,19.83
TRIUMPH PUBLIC HIGH SCHOOLS-RIO GRANDE VALLEY,Texas,4800133,4,4,TX-108804,485,28.57,67.67
TRIVIUM ACADEMY,TEXAS,4801456,1,1,TX-061805,553,52.82,65.18
TROUP ISD,Texas,4843230,3,3,TX-212904,1053,87.99,174.86
TROY ISD,Texas,4843260,4,5,TX-014910,1637,113.62,221.88
TULIA ISD,Texas,4843320,3,3,TX-219903,947,87.29,189.72
TULOSO-MIDWAY ISD,Texas,4843350,6,6,TX-178912,3750,265.79,523.88
TURKEY-QUITAQUE ISD,Texas,4843400,1,1,TX-096905,193,25.18,38.30
TWO DIMENSIONS PREPARATORY ACADEMY,Texas,4800069,3,3,TX-101840,439,21.84,58.20
TYLER ISD,Texas,4843470,26,26,TX-212905,18148,1238.06,2550.97
UME PREPARATORY ACADEMY,Texas,4801425,3,3,TX-057845,1365,97.24,158.60
UNION GROVE ISD,Texas,4843530,3,3,TX-230908,703,64.79,108.23
UNION HILL ISD,Texas,4843560,2,2,TX-230904,284,32.51,62.08
UNITED ISD,Texas,4843650,50,53,TX-240903,39316,2539.48,6268.27
UNIVERSAL ACADEMY,Texas,4800070,2,2,TX-057808,2055,132.47,190.53
UNIVERSITY OF TEXAS AT AUSTIN H S,TEXAS,4801473,1,2,TX-227506,666,13.57,28.87
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,Texas,4800251,1,1,TX-227819,302,23.94,40.38
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,Texas,4800071,22,22,TX-227806,532,68.32,139.91
UPLIFT EDUCATION,Texas,4800030,43,43,TX-057803,22183,1399.14,2551.86
UT TYLER UNIVERSITY ACADEMY,Texas,4801427,3,3,TX-212804,853,57.13,94.15
UTOPIA ISD,Texas,4843680,1,1,TX-232904,213,19.41,38.33
UTPB STEM ACADEMY,TEXAS,4801443,1,1,TX-068803,763,42.32,60.00
UVALDE CISD,Texas,4843720,8,8,TX-232903,4116,293.01,738.30
VALENTINE ISD,Texas,4843740,1,1,TX-122902,36,10.00,15.57
VALERE PUBLIC SCHOOLS,Texas,4801414,4,4,TX-227824,1018,59.53,100.30
VALLEY MILLS ISD,Texas,4843760,3,5,TX-018904,620,55.52,98.08
VALLEY VIEW ISD,Texas,4843860,3,3,TX-049903,943,77.02,170.29
VALLEY VIEW ISD,Texas,4843800,7,8,TX-108916,3790,241.79,599.80
VALOR PUBLIC SCHOOLS,TEXAS,4801461,2,2,TX-227829,1378,85.39,139.84
VAN ALSTYNE ISD,Texas,4843890,4,4,TX-091908,2048,143.32,253.81
VAN ISD,Texas,4843920,5,5,TX-234906,2373,159.42,354.74
VAN VLECK ISD,Texas,4843950,4,4,TX-158906,1080,77.72,166.57
VANGUARD ACADEMY,Texas,4800195,5,5,TX-108808,5364,349.91,748.53
VEGA ISD,Texas,4843980,3,3,TX-180902,370,45.67,73.73
VENUS ISD,Texas,4844010,5,5,TX-126908,2303,175.48,330.89
VERIBEST ISD,Texas,4844040,4,4,TX-226908,278,23.02,45.73
VERNON ISD,Texas,4844110,6,6,TX-244903,1871,138.03,313.67
VICTORIA ISD,Texas,4844150,28,28,TX-235902,13301,857.66,1924.53
VIDOR ISD,Texas,4844160,6,6,TX-181907,4265,309.34,712.83
VILLAGE TECH SCHOOLS,Texas,4801436,1,1,TX-057847,1232,69.13,126.73
VISTA DEL FUTURO CHARTER SCHOOL,Texas,4801394,1,1,TX-071809,340,20.08,62.80
VYSEHRAD ISD,Texas,4844250,1,1,TX-143904,111,11.01,20.25
WACO CHARTER SCHOOL,Texas,4800024,1,1,TX-161801,193,17.75,34.58
WACO ISD,Texas,4844280,25,25,TX-161914,14086,1011.13,2302.79
WAELDER ISD,Texas,4844310,1,1,TX-089905,305,31.55,68.38
WALCOTT ISD,Texas,4844370,1,1,TX-059902,152,9.79,23.72
WALL ISD,Texas,4844410,6,6,TX-226906,1290,123.85,225.58
WALLER ISD,Texas,4844430,8,9,TX-237904,8386,519.58,1111.03
WALNUT BEND ISD,Texas,4844490,1,1,TX-049908,56,6.32,12.59
WALNUT SPRINGS ISD,Texas,4844520,1,1,TX-018905,178,21.28,32.23
WARREN ISD,Texas,4844580,4,5,TX-229904,1263,99.30,202.25
WASKOM ISD,Texas,4844670,4,4,TX-102903,845,71.98,156.14
WATER VALLEY ISD,Texas,4844710,6,7,TX-226905,352,31.57,55.13
WAXAHACHIE FAITH FAMILY ACADEMY,Texas,4800105,2,2,TX-070801,2586,137.19,326.10
WAXAHACHIE ISD,Texas,4844730,17,17,TX-070912,10095,714.52,1522.46
WAYSIDE SCHOOLS,Texas,4800044,4,4,TX-227803,1643,121.38,202.98
WEATHERFORD ISD,Texas,4844800,10,10,TX-184903,8034,571.82,1114.14
WEBB CISD,Texas,4844810,4,5,TX-240904,264,29.08,59.69
WEIMAR ISD,Texas,4844820,3,3,TX-045905,688,61.36,118.40
WELLINGTON ISD,Texas,4844890,3,3,TX-044902,543,53.05,102.33
WELLMAN-UNION CISD,Texas,4844910,1,1,TX-223904,284,25.92,51.65
WELLS ISD,Texas,4844940,1,1,TX-037909,258,22.01,46.35
WESLACO ISD,Texas,4844960,21,22,TX-108913,15639,1042.11,2214.84
WEST HARDIN COUNTY CISD,Texas,4845000,2,3,TX-100908,568,50.50,98.48
WEST ISD,Texas,4845040,4,5,TX-161916,1239,97.75,210.66
WEST ORANGE-COVE CISD,Texas,4845090,4,4,TX-181906,2560,172.77,407.39
WEST OSO ISD,Texas,4845120,5,5,TX-178915,1969,152.60,329.41
WEST RUSK COUNTY CONSOLIDATED ISD,Texas,4845150,5,5,TX-201914,1038,77.20,166.49
WEST SABINE ISD,Texas,4845180,2,2,TX-202905,560,50.85,93.09
WESTBROOK ISD,Texas,4845210,1,1,TX-168903,258,19.06,42.99
WESTHOFF ISD,Texas,4845240,1,1,TX-062905,71,7.74,16.83
WESTLAKE ACADEMY CHARTER SCHOOL,Texas,4800254,1,1,TX-220810,877,60.70,99.95
WESTPHALIA ISD,Texas,4845330,1,1,TX-073904,155,14.72,26.51
WESTWOOD ISD,Texas,4843290,4,4,TX-001908,1332,120.64,269.10
WHARTON ISD,Texas,4845380,4,4,TX-241904,1966,132.96,345.15
WHEELER ISD,Texas,4845420,1,1,TX-242903,408,39.10,74.53
WHITE DEER ISD,Texas,4845450,2,2,TX-033904,339,32.58,64.05
WHITE OAK ISD,Texas,4845480,4,4,TX-092908,1466,123.24,210.40
WHITE SETTLEMENT ISD,Texas,4845540,10,10,TX-220920,7036,442.67,843.66
WHITEFACE CISD,Texas,4845570,1,1,TX-040902,313,32.45,60.96
WHITEHOUSE ISD,Texas,4845600,8,8,TX-212906,4906,352.49,706.78
WHITESBORO ISD,Texas,4845630,4,4,TX-091909,1720,109.11,213.02
WHITEWRIGHT ISD,Texas,4845670,3,3,TX-091910,755,62.43,108.74
WHITHARRAL ISD,Texas,4845690,1,1,TX-110908,236,17.69,32.48
WHITNEY ISD,Texas,4845720,6,6,TX-109911,1478,115.13,255.44
WICHITA FALLS ISD,Texas,4845780,28,28,TX-243905,13380,1030.81,1894.06
WILDORADO ISD,Texas,4845840,1,1,TX-180904,230,19.96,38.22
WILLIS ISD,Texas,4845900,12,12,TX-170904,8432,479.22,1039.02
WILLS POINT ISD,Texas,4845950,5,5,TX-234907,2635,186.88,380.50
WILSON ISD,Texas,4845990,1,1,TX-153907,128,17.42,34.10
WIMBERLEY ISD,Texas,4800009,4,4,TX-105905,2613,182.48,367.34
WINDHAM SCHOOL DISTRICT,Texas,4800291,="0",†,TX-236903,–,†,="0.00"
WINDTHORST ISD,Texas,4846080,3,3,TX-005904,530,36.28,71.34
WINFREE ACADEMY CHARTER SCHOOLS,Texas,4800202,6,6,TX-057828,1080,46.03,104.42
WINK-LOVING ISD,Texas,4846170,2,2,TX-248902,407,48.75,85.30
WINNSBORO ISD,Texas,4846200,4,4,TX-250907,1537,114.48,253.33
WINONA ISD,Texas,4846230,3,3,TX-212910,1078,97.83,213.65
WINTERS ISD,Texas,4846260,4,5,TX-200904,554,52.40,116.85
WODEN ISD,Texas,4846320,3,3,TX-174906,760,66.00,106.00
WOLFE CITY ISD,Texas,4846350,3,3,TX-116909,703,61.25,108.65
WOODSBORO ISD,Texas,4846380,2,2,TX-196902,438,41.91,86.00
WOODSON ISD,Texas,4846410,1,1,TX-224902,160,15.57,26.85
WOODVILLE ISD,Texas,4846440,4,4,TX-229903,1263,109.52,258.73
WORTHAM ISD,Texas,4846470,3,4,TX-081905,520,40.37,80.69
WYLIE ISD,Texas,4846500,7,8,TX-221912,5108,335.45,662.57
WYLIE ISD,Texas,4846530,21,22,TX-043914,18210,1128.89,2215.84
YANTIS ISD,Texas,4846590,2,2,TX-250905,368,34.00,54.84
YELLOWSTONE COLLEGE PREPARATORY,TEXAS,4801463,1,1,TX-101873,157,13.39,23.82
YES PREP PUBLIC SCHOOLS INC,Texas,4800209,19,19,TX-101845,14562,857.84,1580.48
YOAKUM ISD,Texas,4846620,5,5,TX-062903,1507,148.58,367.43
YORKTOWN ISD,Texas,4846650,3,3,TX-062904,538,49.22,90.48
YSLETA ISD,Texas,4846680,57,57,TX-071905,37244,2546.45,5948.46
ZAPATA COUNTY ISD,Texas,4846710,6,6,TX-253901,3287,228.87,522.21
ZAVALLA ISD,Texas,4846740,2,3,TX-003906,301,32.20,60.81
ZEPHYR ISD,Texas,4846770,1,1,TX-025906,212,20.48,35.56


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey" 2021-22 v.1a; "Public Elementary/Secondary School Universe Survey" 2021-22 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
