,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
11012,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11013,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11014,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11015,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11016,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11017,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11018,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11019,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11020,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11021,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11022,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11023,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11024,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11025,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11026,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11027,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11028,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11029,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11030,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11031,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11032,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11033,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11034,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11035,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11036,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11037,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11038,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11039,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11040,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11041,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11042,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11043,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11044,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11045,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11046,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11047,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11048,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11049,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11050,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11051,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11052,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11053,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11054,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11055,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11056,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11057,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11058,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11059,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11060,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11061,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11062,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11063,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11064,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
11065,NEEDVILLE ISD,48157.0,79906,207.24,368.95,3262.0,217.04,395.02,3306.0
