County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
MARION COUNTY,CONNALLY ISD,48309,161921,175.61,369.03,2364.0,186.09,389.01,2342.0
MONTGOMERY COUNTY,CONROE ISD,48339,170902,3820.15,7726.91,62837.0,4110.6,8248.42,64563.0
LIMESTONE COUNTY,COOLIDGE ISD,48293,147901,29.0,50.81,309.0,29.37,52.25,309.0
DELTA COUNTY,COOPER ISD,48119,60902,62.56,127.04,812.0,66.08,124.74,806.0
DALLAS COUNTY,COPPELL ISD,48113,57922,792.14,1319.82,12925.0,859.83,1448.42,13052.0
CORYELL COUNTY,COPPERAS COVE ISD,48099,50910,540.24,1201.68,8271.0,564.09,1270.48,8052.0
NUECES COUNTY,CORPUS CHRISTI ISD,48355,178904,2239.4,4640.16,37318.0,2232.46,4631.43,34511.0
NUECES COUNTY,CORPUS CHRISTI MONTESSORI SCHOOL,48355,178807,9.17,17.97,135.0,7.63,17.63,116.0
POLK COUNTY,CORRIGAN-CAMDEN ISD,48373,187904,71.36,163.87,822.0,65.94,152.42,789.0
NAVARRO COUNTY,CORSICANA ISD,48349,175903,416.41,870.95,6004.0,416.1,865.69,6059.0
HALE COUNTY,COTTON CENTER ISD,48189,95902,15.01,29.64,125.0,14.06,30.85,96.0
LA SALLE COUNTY,COTULLA ISD,48283,142901,110.14,248.7,1347.0,111.89,262.14,1265.0
WILLIAMSON COUNTY,COUPLAND ISD,48491,246914,13.13,22.2,169.0,12.84,23.77,173.0
HILL COUNTY,COVINGTON ISD,48217,109903,23.06,76.78,295.0,23.58,82.73,276.0
KAUFMAN COUNTY,CRANDALL ISD,48257,129901,277.25,515.55,4420.0,327.05,623.55,4868.0
CRANE COUNTY,CRANE ISD,48103,52901,81.78,148.9,1151.0,87.05,172.18,1099.0
BOSQUE COUNTY,CRANFILLS GAP ISD,48035,18908,15.32,27.73,133.0,15.21,29.67,129.0
MARION COUNTY,CRAWFORD ISD,48309,161901,51.01,86.11,585.0,52.51,88.35,561.0
CROCKETT COUNTY,CROCKETT COUNTY CONSOLIDATED CSD,48105,53001,62.16,129.2,777.0,66.36,134.78,764.0
HOUSTON COUNTY,CROCKETT ISD,48225,113901,96.44,200.33,1345.0,100.46,198.82,1273.0
HARRIS COUNTY,CROSBY ISD,48201,101906,407.8,827.74,6331.0,395.01,737.54,6337.0
CROSBY COUNTY,CROSBYTON CISD,48107,54901,37.76,67.63,367.0,34.75,63.9,316.0
CALLAHAN COUNTY,CROSS PLAINS ISD,48059,30901,36.68,66.36,340.0,35.75,65.59,363.0
HENDERSON COUNTY,CROSS ROADS ISD,48213,107904,54.68,102.33,558.0,52.85,99.54,528.0
FOARD COUNTY,CROWELL ISD,48155,78901,21.2,41.05,209.0,21.39,49.11,202.0
TARRANT COUNTY,CROWLEY ISD,48439,220912,1065.48,1865.53,15728.0,1149.24,1937.18,15731.0
ZAVALA COUNTY,CRYSTAL CITY ISD,48507,254901,121.06,333.71,1936.0,112.89,307.14,1838.0
DEWITT COUNTY,CUERO ISD,48123,62901,152.2,332.64,1989.0,160.1,344.72,1911.0
CULBERSON COUNTY,CULBERSON COUNTY-ALLAMOORE ISD,48109,55901,32.14,59.34,378.0,33.6,73.73,387.0
SMITH COUNTY,CUMBERLAND ACADEMY,48423,212801,148.22,230.47,1949.0,161.96,250.96,1961.0
HOPKINS COUNTY,CUMBY ISD,48223,112905,35.94,68.49,386.0,40.29,70.2,420.0
NACOGDOCHES COUNTY,CUSHING ISD,48347,174902,39.23,72.74,557.0,40.5,78.85,576.0
HARRIS COUNTY,CYPRESS-FAIRBANKS ISD,48201,101907,7261.92,14819.75,116512.0,7659.35,15496.08,114881.0
MEDINA COUNTY,D'HANIS ISD,48325,163902,35.37,66.54,368.0,34.28,62.16,315.0
MORRIS COUNTY,DAINGERFIELD-LONE STAR ISD,48343,172902,83.6,191.76,1037.0,85.8,198.92,1057.0
DALLAM COUNTY,DALHART ISD,48111,56901,127.22,209.98,1737.0,132.38,221.66,1632.0
DALLAS COUNTY,DALLAS ISD,48113,57905,10000.9,20435.2,155119.0,10265.92,21286.79,145113.0
BRAZORIA COUNTY,DAMON ISD,48039,20910,15.0,31.19,156.0,12.0,23.9,115.0
BRAZORIA COUNTY,DANBURY ISD,48039,20904,54.12,100.62,801.0,62.22,110.38,759.0
LIPSCOMB COUNTY,DARROUZETT ISD,48295,148905,13.25,25.07,118.0,16.68,31.77,139.0
NAVARRO COUNTY,DAWSON ISD,48349,175904,38.0,78.46,512.0,43.0,96.51,509.0
LIBERTY COUNTY,DAYTON ISD,48291,146902,338.56,723.24,5418.0,344.79,750.32,5480.0
COMANCHE COUNTY,DE LEON ISD,48093,47902,53.31,119.83,741.0,55.43,133.0,739.0
WISE COUNTY,DECATUR ISD,48497,249905,224.01,439.92,3413.0,232.2,462.3,3429.0
HARRIS COUNTY,DEER PARK ISD,48201,101908,818.98,1804.55,12937.0,814.96,1887.67,12370.0
BOWIE COUNTY,DEKALB ISD,48037,19901,69.39,129.37,800.0,70.0,128.99,759.0
TRAVIS COUNTY,DEL VALLE ISD,48453,227910,811.95,1673.8,10870.0,801.62,1724.98,10654.0
HUDSPETH COUNTY,DELL CITY ISD,48229,115903,10.55,22.91,72.0,10.84,24.32,71.0
GRAYSON COUNTY,DENISON ISD,48181,91903,335.28,581.53,4724.0,341.6,622.72,4591.0
DENTON COUNTY,DENTON ISD,48121,61901,2241.69,3872.44,30169.0,2375.1,4127.77,30267.0
YOAKUM COUNTY,DENVER CITY ISD,48501,251901,120.12,243.32,1703.0,121.74,256.73,1638.0
DALLAS COUNTY,DESOTO ISD,48113,57906,669.06,1238.21,9404.0,487.68,976.29,7929.0
RED RIVER COUNTY,DETROIT ISD,48387,194905,52.64,127.4,542.0,48.47,127.05,516.0
LIBERTY COUNTY,DEVERS ISD,48291,146903,13.86,26.16,176.0,13.4,25.87,205.0
MEDINA COUNTY,DEVINE ISD,48325,163901,137.84,284.71,1985.0,136.28,290.86,1984.0
FREESTONE COUNTY,DEW ISD,48161,81906,16.0,29.93,155.0,18.99,36.19,164.0
NEWTON COUNTY,DEWEYVILLE ISD,48351,176903,49.71,89.16,579.0,47.85,96.61,534.0
